Blank Column,Id,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Download,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library,Call Number,Extra,Notes,Cover,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
,E4DIZSEQ,book,1995,"Russell, Carlos E",An old woman remembers,,978-1-878433-20-6,,,,,1995,2022-04-28 19:25:33,2022-05-20 19:41:23,,,,,,,,"An old woman remembers--: the recollected history of West Indians in Panama, 1855-1955 : a prose-poetry monologue",,,,,Caribbean Diaspora Press,New York,eng,,,,,https://www.worldcat.org/title/old-woman-remembers-the-recollected-history-of-west-indians-in-panama-1855-1955-a-prose-poetry-monologue/oclc/37684774&referer=brief_results,,Panamá,"<div data-schema-version=""8""><p>Them had a system.</p> <p style=""padding-left: 40px"" data-indent=""1"">Them was on Gold Roll,</p> <p style=""padding-left: 40px"" data-indent=""1""> &nbsp;we was on Silver Roll.</p> <p>Gold was better than Silver.</p> <p>Everything was separated.</p> <p>Them had gold clubhouses.</p> <p style=""padding-left: 40px"" data-indent=""1"">We had silver clubhouses.</p> <p>And so on and on it went.</p> <p>The only time we had gold,</p> <p style=""padding-left: 40px"" data-indent=""1"">was when we put it in we mouth.</p> <p style=""padding-left: 80px"" data-indent=""2"">You know,</p> <p style=""padding-left: 120px"" data-indent=""3"">to have gold teeth…</p> <p>Strange… white people use silver, not gold…</p> <p style=""padding-left: 40px"" data-indent=""1"">I guess them was cheap.</p> <p>Black policeman couldn’t arrest white people.</p> <p>A Black man was a janitor,</p> <p style=""padding-left: 40px"" data-indent=""1"">a white man a maintenance engineer.</p> </div>",/run/media/febres/TOSHIBA EXT/Data/Zotero/storage/RAPH4RQ8/old-woman.jpg,,,,,,,,,,,,,,,,,,,,,,,1995,,,,,,,,,,,,,,,,,,,,,,,,,,
,52NJ4GHR,book,1923,"Hernández, Gaspar Octavio",La copa de amatista,,,,,https://catalog.hathitrust.org/Record/006504457,,1923,2022-04-28 18:45:18,2022-05-20 19:39:50,2022-04-28 18:45:18,,99,,,,,,,,,,Imprenta nacional de Panamá,Panamá,spa,,,HathiTrust,http://hathitrust.org,https://www.worldcat.org/title/copa-de-amatista/oclc/776469886&referer=brief_results,,Panamá,"<div data-schema-version=""8""><p></p> <p>Ni tez de nácar, ni cabellos de oro<br>veréis ornar de galas mi figura;<br>ni la luz del zafir , celeste y pura,<br>veréis que en mis pupilas atesoro.</p> <p><br>Con piel tostada de atezado moro ;<br>con ojos negros de fatal negrura,<br>del Ancón a la falda verde oscura<br>nací frente al Pacífico sonoro.</p> <p><br>Soy un hijo del Mar…. Porque en mi alma<br>hay,--como sobre el mar,-- noches de calma,<br>indefinibles cóleras sin nombre<br>y un afán de luchar conmigo mismo ,<br>cuando en penas recónditas me abismo<br>pienso que soy un mar trocado en hombre!</p> <p>1915.</p> </div>",/run/media/febres/TOSHIBA EXT/Data/Zotero/storage/MG6UXRAM/uc1._b253439-seq_9.jpg,,,,,,,,,,,,,,,,,,,,,,,1923,,,,,,,,,,,,,,,,,,,,,,,,,,
,DXREIGPK,book,1916,"Hernández, Gaspar Octavio",Iconografía,,,,,https://catalog.hathitrust.org/Record/100794669,,1916,2022-04-28 18:33:45,2022-05-20 19:38:55,2022-04-28 18:33:44,,,,,,,,,,,,R.P. Imprenta  «Esto y aquello»,Panamá,spa,,,HathiTrust,http://hathitrust.org,https://www.worldcat.org/title/iconografia/oclc/923785729&referer=brief_results,,Panamá,"<div data-schema-version=""8""><p>Malas pinceladas, contornos mal diseñados, demasía de sombra o demasía de luz, veréis en los lienzos de esta paupérrima icnonografía; mas veréis también, que esos defectos de técnica, esas violentas incorrecciones pictóricas, hijos son de la vehemencia con que obró la mano, febril de loco entusiasmo o de intensa amargura.</p> <p>En medios como el nuestro --,donde los que --llevados de persistente necesidad interior-- se dedican a la cultura de la belleza, teniendo a la vez, que consumir grandes caudales de energía en labores de suyo antiliterarias; en medios como el nuestro --donde el público --sobre todo el público que a sí mismo se llama letrado-- deja morir de inanición diarios y revistas en el sórdido y frío muladar de la general indiferencia; en medios como este, digo, no se puede laborar con detenimiento, en el bosquejo de un cuadro; en la reproducción de un retrato; en el pulimiento de un mármol. </p> </div>",/run/media/febres/TOSHIBA EXT/Data/Zotero/storage/TQYEQPMV/iconografia.jpg,,,,,,,,,,,,,,,,,,,,,,,1016,,,,,,,,,,,,,,,,,,,,,,,,,,
,V3AL6LXN,book,1971,"Duncan, Quince",Hombres curtidos,,,,,,,1971,2022-04-11 15:28:31,2022-05-20 19:38:10,,,,,,,,,,,,,Cuadernos de Arte Popular,"San Jose, Costa Rica",eng,,,,,https://www.worldcat.org/title/hombres-curtidos/oclc/894427244&referer=brief_results,,Costa Rica,"<div data-schema-version=""8""><p>Mi esposa contempla el caserío en silencio. Se le ve en los ojos que aún duda sobre la causa de mi retorno. Nadie lo sabe, tal vez ni yo mismo lo sé.</p> <p>Los amigos de la capital no me perdonarán nunca el haber dejado la gran ciudad, la vida rápida de la élite artística que nuestra generación trata de crear. Los discursos sobre el ultra-literatura, arte, el servicio del hombre, todo, todo eso y las otras cosas que la vida urbana involucra.</p> </div>",/run/media/febres/TOSHIBA EXT/Data/Zotero/storage/DRNXQTNQ/hombres-curtidos.jpg,,,,,,,,,,,,,,,,,,,,,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,,
,CILADSAS,book,1996,"Chiriboga, Luz Argentina; Harris, Mary A.",Drums under my Skin,,978-0-939423-04-0,,,,,1996,2022-04-28 11:26:26,2022-05-20 19:37:43,,,,,,,,,tr,,,,Afro-Hispanic Institute,"Washington, D.C.",eng,,,,,https://www.worldcat.org/title/drums-under-my-skin/oclc/36720486&referer=brief_results,,Ecuador,"<div data-schema-version=""8""><p>My coastal accent caught the attention of women dozing int heir seats, who hid their curiosity by pretending they were arranging packages. At that hour, a general exhaustion induced &nbsp;sleep. I was alone, and imaginary fears crowded my mind. Why had God lost his power to create life and movement at that moment? I heard my mother’s voice again with her “Behave yourself,” which turned into doubts, suspicions, omens, and more precisely, into fears. At te door od the bus station, a man in blue jeans was awaiting the departure of the bus that would take us to Quito. His cap caught my eye, and I could tell from his boots that he had come a long way. I couldn’t see his face as he went up to an etching of an Andean landscape of the wall. It was cold, and so he sank his hands into the pockets of his jacket.</p> </div>",/run/media/febres/TOSHIBA EXT/Data/Zotero/storage/8YHLYRIT/drums.jpg,,,,,,,,,,,,,,,,,,,,,,,1996,,,,,,,,,,,,,,,,,,,,,,,,,,
,CVHTD2HG,book,1982,"Ortiz, Adalberto",Juyungo,,,,,,,1982,2022-04-28 11:23:03,2022-05-20 19:37:07,,,,,,,,,,,,,Salvat,"Navarra, España",spa,,,,,https://www.worldcat.org/search?q=juyungo&qt=owc_search,,Ecuador,"<div data-schema-version=""8""><p>Don Valerio Verduga Barberán pasóse los dedos a modo de peinilla por entre los desgreñados cabellos sin brillo, y se lo puso que era un mosquitero de fina gasa la llovizna que caía aquella mañana sobre la aldea de Santo Domingo de los Colorados. Dejó correr la vista por encima de los techos pajizos que, frente a su casa de cinc, chorreaban lacios cual pelambreras cholas, y recordó que los gallinazos graves, estaban como diciendo: “mañana hago mi casa, mañana hago mi casa”.</p> <p>Hasta los tímpanos llegaba el estero rumoroso de cristalino caudal, culebreante entre las malezas, de donde mujeres desaliñadas y agenciosasm acarreaban agua en sendos calabazos, mientras niños y adolescentes verdosos como la pulpa de las papayas tiernas, jugaban a los cocos y a las bolas de cristal, debajo de las casuchas que escasamente rodeaban la desmantelada plaza, alfombrada de montes y hierbajos; rasgada en su trémulo y húmedo verdor mojado, por las heridas diagonales de los senderitos familiares.</p> </div>",/run/media/febres/TOSHIBA EXT/Data/Zotero/storage/8LE4U9EP/juyungo.jpg,,,,,,,,,,,,,,,,,,,,,,,1943,,,,,,,,,,,,,,,,,,,,,,,,,,
,JRVGSDG9,book,1991,"Ortiz, Adalberto; Hill, Susan F.",Juyungo: a classic Afro-Hispanic novel,,978-0-08-941091-4,,,,,1991,2022-04-28 11:22:55,2022-05-20 19:36:13,,,,,,,,Juyungo,tr,,,,Three Continent Press,"Washington, D.C.",eng,,,,,https://www.worldcat.org/title/juyungo-a-classic-afro-hispanic-novel/oclc/38370178&referer=brief_results,,Ecuador,"<div data-schema-version=""8""><p>Don Valerio Verduga Barberán combed his fingers through his dull, disheveled hair, and it seemed to him that the mist falling that morning on the village of Santo Domingo de los Colorados was a fine-gauze mosquito netting. He let his gaze run over the straw roofs which, across from his house of zinc, streamed straight as Indian hair. They reminded him of the grave and silent vultures which flapped their black, open wings, as if to say: ‘Tomorrow I make a home, tomorrow I make a home’.</p> <p>The noisy overflow of the crystalline torrent reached his ears. It snaked through the underbrush, from where unkempt and diligent women, each with a gourd, carried water, Meanwhile, children and adolescents, greenish as the pulp of tender papayas, played with coconuts and glass marbles beneath the hovels that partially surrounded the dilapidated square. The plaza was carpeted with brush and weeds, and rent, in its tremulous and humid verdor, by the diagonal wounds of the familiar little paths.</p> </div>",/run/media/febres/TOSHIBA EXT/Data/Zotero/storage/BHLMPDX7/juyungo-eng.jpg,,,,,,,,,,,,,,,,,,,,,,,1982,,,,,,,,,,,,,,,,,,,,,,,,,,
,3GVE3HJC,book,1995,"Cartagena Portalatón, Aída; Fenwick, M. J.",Yania tierra: poema documento = document poem,,978-0-9632363-9-5,,,,,1995,2022-04-28 10:46:59,2022-05-20 19:35:32,,,,,,,,Yania tierra,tr,,,,Azul,"Washington, D.C.",spa;eng,,,,,https://www.worldcat.org/title/yania-tierra-poema-documento-document-poem/oclc/813737080&referer=brief_results,,República Dominicana,"<div data-schema-version=""8""><p>CIERTO / Perdí el viejo juego de los versos</p> <p>Deseo conversar de otra manera</p> <p style=""padding-left: 40px"" data-indent=""1"">cuando la Zarza Ardiente</p> <p>Se quebranta bajo continuos aguaceros</p> <p>Con todo el dolor de una muerte</p> <p style=""padding-left: 40px"" data-indent=""1"">concebida</p> <p>Quién sería como Dios en la tierra</p> <p>Para soportar tanto silencio</p> <p>Si los testigos de estas letras nuevas</p> <p>Desean secuestrar la libertad de la palabra</p> <p style=""padding-left: 40px"" data-indent=""1"">Cotidiana</p> <p>Que traspasa tu cuerpo Yania Tierra</p> <p>***</p> <p>Traspasada / llegaría / llegó de repente</p> <p>La muerte desnuda / sin la ropa</p> <p>¡Qué noche calurosa!</p> </div>",/run/media/febres/TOSHIBA EXT/Data/Zotero/storage/BIWXF7P5/yania-tierra.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,JDWW5Z5X,book,1968,"Guillén, Nicolás",Tengo,,,,,,,1968,2022-04-24 01:05:57,2022-05-20 19:34:35,,,,,,,,,,,,,El Siglo Ilustrado,Montevideo,spa,,,,,https://www.worldcat.org/title/tengo/oclc/4731700&referer=brief_results,,Cuba,"<div data-schema-version=""8""><p>Tengo, vamos a ver,</p> <p>que siendo un negro</p> <p>nadie me puede detener</p> <p>a la puerta de un dancing o de un bar.</p> <p>O bien en la carpeta de un hotel</p> <p>gritarme que no hay pieza,</p> <p>una mínima pieza y no una pieza colosal,</p> <p>una pequeña pieza donde yo pueda descansar.</p> <p></p> <p>Tengo, vamos a ver,</p> <p>que no hay guardia rural</p> <p>que me agarre y me encierre en un cuartel,</p> <p>ni me arranque y me arroje de mi tierra</p> <p>al medio del camino real.</p> <p></p> <p>Tengo que como tengo la tierra tengo el mar,</p> <p>no country, no jailáif,</p> <p>no tenis y no yacht,</p> <p>sino de playa en playa y ola en ola,</p> <p>gigante azul abierto democrático:</p> <p>en fin, el mar.</p> </div>",/run/media/febres/TOSHIBA EXT/Data/Zotero/storage/E23WXRUA/tengo.jpg,,,,,,,,,,,,,,,,,,,,,,,1964,,,,,,,,,,,,,,,,,,,,,,,,,,
,8V8VIBDX,book,1974,"Guillén, Nicolás; Carr, Richard J.",Tengo,,978-0-910296-28-1 978-0-910296-29-8,,,http://archive.org/details/tengo0000guil,,1974,2022-04-24 00:56:24,2022-05-20 19:33:49,2022-04-24 00:56:24,,154,,,,,,tr,,,,Broadside Press,"Detroit,  EEUU",eng,,,Kahle/Austin Foundation,https://archive.org/details/kahleaustinfoundation,https://www.worldcat.org/title/tengo-translated-by-richard-j-carr/oclc/880775590&referer=brief_results,,Cuba,"<div data-schema-version=""8""><p>I have, just wait and see,</p> <p>that being black and all</p> <p>no one stopping me</p> <p>as bar or dance hall guest</p> <p>or treading the carpet of a hotel,</p> <p>shouting that there's no bed,</p> <p>no minimal cell and no colossal cell,</p> <p>no little cell where I might take my rest.</p> <p></p> <p>I have, just wait and see,</p> <p>freedom from the rural overseer</p> <p>who straps me up and puts me in a jail</p> <p>or drags my body from its native shed</p> <p>down the royal highway's helpless trail.</p> <p></p> <p>I have the land as well as I've the sea,</p> <p>no country,</p> <p>no high-life,</p> <p>no tennis and no yacht,</p> <p>but beach to endless waves and waves to beach,</p> <p>blue and naked giant of democracy:</p> <p>in short, the sea.</p> </div>",/run/media/febres/TOSHIBA EXT/Data/Zotero/storage/RQ4JLZJ9/guillen-tengo-english.png,,,,,,,,,,,,,,,,,,,,,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,,
